Month,Batch,AQI
jan94,2339,86.63
feb94,2275,84.6
mar94,2881,87.04
apr94,2780,87.19
may94,3227,87.91
jun94,3291,87.99
jul94,2944,88.09
aug94,3163,88.25
sep94,2770,87.62
oct94,2827,87.43
nov94,2392,86.74
dec94,1973,84.86
jan95,3006,87.44
feb95,2924,87.77
mar95,3592,88.09
apr95,3460,88.53
may95,3807,88.11
jun95,3753,88.59
jul95,3648,88.67
aug95,3698,88.87
sep95,3166,89.92
oct95,3159,88.93
nov95,2545,87.17
dec95,2208,89.07
jan96,2971,89.25
feb96,3083,90.54
mar96,3504,89.89
apr96,3580,90.28
may96,3855,89.46
jun96,3894,89.42
jul96,3772,89.28
aug96,3705,89.17
sep96,3364,90.42
oct96,3341,90.46
nov96,2680,88.63
dec96,2418,89.74
jan97,2963,90.48
feb97,2890,89.76
mar97,3455,90.2
apr97,3747,90.68
may97,3685,90.19
jun97,3672,89.78
jul97,3865,89.72
aug97,3729,90.78
sep97,3205,90.32
oct97,3158,90.64
nov97,2552,90.97
